Day;Date;Weigth;Steps;Walk (min);Sport (min);Spent kcal;sleep time;GPS country
W;03/06/2015;68;6178;70;6;354;;33
Th;04/06/2015;68,8;8342;72;11;465;;33
F;05/06/2015;68,7;10048;91;40;722;;33
Sa;06/06/2015;68,6;6593;55;0;270;;33
Su;07/06/2015;69;1417;12;0;71;;33
M;08/06/2015;68,8;10381;92;1;465;;33
Tu;09/06/2015;69,1;8715;78;45;695;;33
W;10/06/2015;69,2;10289;93;1;449;;33
Th;11/06/2015;68,7;8275;63;50;732;;33
F;12/06/2015;68,6;7807;70;2;359;;33
Sa;13/06/2015;68,7;1883;18;0;79;;33
Su;14/06/2015;68,7;15;5;0;30;;33
M;15/06/2015;68,7;7684;67;0;327;;33
Tu;16/06/2015;68,9;12702;116;2;559;;33
W;17/06/2015;68,9;8896;83;1;382;;33
Th;18/06/2015;69,3;9038;83;0;397;;33
F;19/06/2015;69,1;7773;69;45;663;;33
Sa;20/06/2015;69,1;68;8;0;37;;33
Su;21/06/2015;69,4;960;9;0;42;;33
M;22/06/2015;69,6;8814;79;0;383;;33
Tu;23/06/2015;69,6;7593;70;41;629;;33
W;24/06/2015;69,2;7395;68;45;650;;33
Th;25/06/2015;69,3;12400;111;0;528;;33
F;26/06/2015;69,3;11301;100;41;794;;33
Sa;27/06/2015;69,3;5055;49;0;214;;33
Su;28/06/2015;69,3;9120;91;0;375;;33
M;29/06/2015;69,3;11211;109;0;456;;33
Tu;30/06/2015;69,3;11184;106;0;472;;33
W;01/07/2015;69,3;12986;122;3;560;;33
Th;02/07/2015;69,3;8134;74;3;361;;33
F;03/07/2015;69,3;7695;67;40;619;;33
Sa;04/07/2015;68,8;;9;0;40;;33
Su;05/07/2015;68,8;53;10;0;45;;33
M;06/07/2015;69,9;9789;84;1;437;;33
Tu;07/07/2015;69,5;9148;79;47;733;;33
W;08/07/2015;69,3;7278;65;0;309;;33
Th;09/07/2015;69,8;8650;75;0;373;;33
F;10/07/2015;70,3;8652;74;47;720;;33
Sa;11/07/2015;69,8;6809;70;0;296;8h45;353
Su;12/07/2015;69,8;13575;137;0;576;8h35;353
M;13/07/2015;69,8;17865;177;0;731;8h50;353
Tu;14/07/2015;69,8;6883;69;0;296;9h03;353
W;15/07/2015;69,8;11191;117;0;468;8h05;353
Th;16/07/2015;69,8;10969;104;0;448;8h35;353
F;17/07/2015;69,8;11511;105;0;477;9h10;353
Sa;18/07/2015;69,8;6535;65;0;268;9h25;353
Su;19/07/2015;69,6;916;8;0;45;;33
M;20/07/2015;69,6;1677;16;0;79;;33
Tu;21/07/2015;69,8;4627;44;0;202;9h55;33
W;22/07/2015;69,7;4391;44;0;179;8h45;33
Th;23/07/2015;69,7;1196;12;0;50;8h10;33
F;24/07/2015;69,7;4039;38;0;180;9h47;33
Sa;25/07/2015;69,1;584;6;0;26;8h20;33
Su;26/07/2015;69,4;32;9;0;41;8h35;33
M;27/07/2015;69,3;;4;0;27;8h05;33
Tu;28/07/2015;69,2;26;15;0;75;8h06;33
W;29/07/2015;69,6;371;3;0;21;8h40;33
Th;30/07/2015;69,4;33;9;0;42;8h54;33
F;31/07/2015;69,2;5174;44;0;237;8h35;33
Sa;01/08/2015;69,1;9582;99;0;390;9h10;33
Su;02/08/2015;69,2;3384;137;1;592;8h45;34
M;03/08/2015;69,1;16509;145;8;722;9h47;34
Tu;04/08/2015;69;8425;57;113;1302;9h25;34
W;05/08/2015;68,6;1616;13;62;661;10h15;34
Th;06/08/2015;68,5;13024;92;93;1073;9h35;34
F;07/08/2015;68,3;5047;47;53;658;9h10;34
Sa;08/08/2015;68,3;3371;30;71;827;8h;34
Su;09/08/2015;68,3;8804;52;76;904;9h20;34
M;10/08/2015;68,1;4192;38;42;574;9h55;34
Tu;11/08/2015;68,1;4117;35;3;194;9h45;34
W;12/08/2015;68,2;7150;61;29;504;9h30;34
Th;13/08/2015;68,1;11873;110;8;547;9h35;34
F;14/08/2015;68,1;68;25;0;90;8h25;33
Sa;15/08/2015;68,1;2103;21;0;85;8h05;33
Su;16/08/2015;68,5;3190;28;0;134;;33
M;17/08/2015;68,9;1318;12;0;66;;33
Tu;18/08/2015;69,1;533;5;0;27;;33
W;19/08/2015;69,6;7407;70;1;322;;33
Th;20/08/2015;69,6;6460;52;1;280;;33
F;21/08/2015;69,9;3142;33;30;351;;33
Sa;22/08/2015;69,9;3649;36;2;172;;33
Su;23/08/2015;70,6;1771;18;0;80;;33
M;24/08/2015;70,6;9704;88;1;427;;33
Tu;25/08/2015;69,9;11196;101;0;476;;33
W;26/08/2015;70,4;11308;105;0;475;;33
Th;27/08/2015;70,4;8396;74;0;372;;33
F;28/08/2015;70,7;8710;78;0;385;;33
Sa;29/08/2015;70,5;993;9;0;50;;33
Su;30/08/2015;69,9;7;9;0;42;;33
M;31/08/2015;69,4;8843;78;0;379;;33
Tu;01/09/2015;69,5;8446;75;0;365;;33
W;02/09/2015;69,8;6793;61;0;305;;33
Th;03/09/2015;69,9;6894;61;0;296;;33
F;04/09/2015;69,9;10518;99;1;464;;33
Sa;05/09/2015;69,7;109;1;0;4;;33
Su;06/09/2015;69,2;1652;16;0;73;;33
M;07/09/2015;69,1;7899;72;0;336;;33
Tu;08/09/2015;69;10705;97;0;455;;33
W;09/09/2015;69,6;6379;60;0;273;;33
Th;10/09/2015;69,6;10174;92;35;697;;33
F;11/09/2015;69,2;8993;85;0;381;;33
Sa;12/09/2015;69,2;;5;0;24;;33
Su;13/09/2015;69,6;58;12;1;85;;33
M;14/09/2015;69,1;8031;71;0;350;;33
Tu;15/09/2015;69,3;7412;67;0;318;;33
W;16/09/2015;69,8;7332;66;0;311;;33
Th;17/09/2015;69,8;6999;64;0;304;;33
F;18/09/2015;69,7;7826;75;0;332;;33
Sa;19/09/2015;69,5;11;4;0;17;;33
Su;20/09/2015;69,3;1051;9;0;54;;33
M;21/09/2015;69,3;8250;74;0;354;;33
Tu;22/09/2015;68,9;7185;63;0;301;;33
W;23/09/2015;69,1;7604;69;1;332;;33
Th;24/09/2015;69,2;7453;69;1;315;;33
F;25/09/2015;69,4;8742;79;0;374;;33
Sa;26/09/2015;69,8;69;9;0;51;;33
Su;27/09/2015;69,4;14;8;0;38;;33
M;28/09/2015;69,1;11633;106;0;520;;33
Tu;29/09/2015;69,1;8690;77;0;371;;33
W;30/09/2015;69,3;5745;52;0;247;;33
Th;01/10/2015;69,9;15373;143;1;652;;33
F;02/10/2015;69,4;7229;67;0;309;;33
Sa;03/10/2015;69,1;41;9;0;48;;33
Su;04/10/2015;69,3;1064;9;0;53;;33
M;05/10/2015;69,6;7337;64;0;333;;33
Tu;06/10/2015;69,6;15253;132;1;659;;33
W;07/10/2015;69,9;7894;73;0;346;;33
Th;08/10/2015;69,4;11761;111;1;502;;33
F;09/10/2015;69,4;7377;67;0;311;;33
Sa;10/10/2015;69;;12;0;57;;33
Su;11/10/2015;69,4;885;9;0;38;;33
M;12/10/2015;69,3;7748;68;0;326;;33
Tu;13/10/2015;69,2;7296;69;0;318;;33
W;14/10/2015;69,1;7039;63;0;306;;33
